gene.name,BA1,BA2,PBA,BIO,BIOw1,BIOw2,MUT1,MUT2,MUT3
Gnai3,0,0,0,0,0,0,0,0,0
Pbsn,0,0,0,0,0,0,0,0,0
Cdc45,0,0,0,0,0,0,0,0,0
H19,0,0,0,0,0,0,0,0,0
Scml2,1,1,1,1,1,1,0,0,0
Apoh,0,0,0,0,0,0,0,0,0
Narf,0,0,0,0,0,0,0,0,0
Cav2,0,0,0,0,0,0,0,0,0
Klf6,0,0,0,0,0,0,0,0,0
Scmh1,0,0,0,1,0,1,0,0,0
Cox5a,0,0,0,0,0,0,1,0,0
Tbx2,0,0,1,0,0,0,0,0,0
Tbx4,0,1,0,0,0,0,0,0,0
Zfy2,0,0,0,0,0,0,0,0,0
Ngfr,0,0,0,0,0,0,0,0,0
Wnt3,1,1,1,0,0,0,0,0,0
Wnt9a,0,0,0,0,0,0,0,0,0
Fer,0,0,0,0,0,0,0,0,0
Xpo6,0,0,0,0,0,0,0,0,0
Tfe3,0,0,0,0,0,0,0,0,0
Axin2,1,1,1,1,1,1,0,0,0
Baat1,0,0,0,0,0,0,0,0,0
Gna12,0,0,0,0,0,0,0,0,0
Slc22a18,0,0,1,0,0,0,0,0,0
Itgb2l,0,0,0,0,0,0,0,0,0
Igsf5,0,0,0,0,0,0,0,0,0
Pih1d2,1,0,1,0,0,0,0,0,0
Dlat,0,0,0,0,0,0,0,0,0
Sdhd,0,0,0,0,0,0,0,0,0
Fgf23,0,0,0,0,0,0,0,0,0
Fgf6,0,0,0,0,0,0,0,0,0
Ccnd2,0,0,0,0,0,0,0,0,0
Gpr107,0,0,0,0,0,0,0,0,0
Nalcn,0,1,0,0,0,0,0,0,0
Btbd17,0,0,0,0,0,0,1,0,1
Slfn4,0,0,0,0,0,0,0,0,0
Th,0,0,1,0,0,0,0,0,0
Ins2,0,0,0,0,0,0,0,0,0
Scnn1g,1,0,0,0,0,0,0,0,0
Drp2,1,1,1,0,0,0,0,0,0
Tspan32,0,0,0,0,0,0,0,0,0
Lhx2,0,0,0,0,0,0,0,0,0
Clec2g,0,0,0,0,0,0,0,0,0
Gmpr,0,1,1,0,0,0,0,0,0
Glra1,0,0,0,0,0,0,0,0,0
Mid2,0,0,0,0,0,0,0,0,0
Trim25,0,0,0,0,0,0,0,0,0
Dgke,0,0,0,0,0,0,0,0,0
Scpep1,0,0,0,0,0,0,0,0,0
Mnt,0,0,0,0,0,0,0,0,0
Itgb2,0,0,0,0,0,0,0,0,0
Hddc2,1,0,1,0,0,1,1,0,0
Tpd52l1,0,0,0,0,0,0,0,0,0
Pemt,0,0,0,0,0,0,1,0,0
Cdh1,1,1,1,1,1,0,0,0,0
Cdh4,0,0,0,0,0,0,0,0,0
Ckmt1,0,0,0,0,0,0,1,0,0
Bcl6b,1,1,1,0,0,0,0,0,0
Clec10a,0,0,0,0,0,0,0,0,0
Alox12,0,0,0,0,0,0,0,0,0
Arvcf,0,1,0,0,0,0,0,0,0
Comt,0,0,0,0,0,0,0,0,0
Rtcd1,0,0,0,0,0,0,0,0,0
Dbt,0,0,0,0,0,0,0,0,0
Dazap2,0,0,0,0,0,0,0,0,0
Mcts1,0,0,0,0,0,0,1,0,0
Rem1,0,0,0,0,0,0,0,0,0
Rnf17,0,0,1,0,0,0,0,0,0
Trappc10,0,0,0,0,0,0,0,0,0
Ccm2,0,0,0,0,0,0,0,0,0
Wap,0,0,0,0,0,0,0,0,0
Tbrg4,0,0,0,0,0,0,0,0,0
Tmprss2,1,1,1,0,0,0,0,0,0
Mx1,0,0,0,0,0,0,0,0,0
Fap,0,0,0,0,0,0,0,0,0
Gcg,0,0,0,0,0,0,0,0,0
Ndufa9,0,0,0,0,0,0,0,0,0
Egfl6,0,1,0,0,0,0,0,0,0
Lck,1,0,0,0,0,0,0,0,0
Tssk3,0,0,0,0,0,0,0,0,0
Cttnbp2,1,1,1,0,0,0,0,0,0
Galnt1,0,0,0,0,0,0,0,0,0
Myf5,1,0,1,0,0,0,0,0,0
Mkrn2,0,0,0,0,0,0,0,0,0
Pparg,0,0,0,0,0,0,0,0,0
Raf1,0,0,0,0,0,0,0,0,0
Sep-01,1,1,1,1,0,1,0,0,0
Pdgfb,0,0,0,0,0,0,0,0,0
Acvrl1,0,0,0,0,0,0,0,0,0
Grasp,0,0,0,0,0,0,0,0,0
Acvr1b,0,0,1,0,0,0,0,0,0
Tom1l2,0,0,0,0,0,0,0,0,0
Gpa33,0,0,0,0,0,0,0,0,0
Zfp385a,0,0,0,0,0,0,0,0,0
Itga5,0,0,0,0,0,0,0,0,0
Gabra2,0,0,0,0,0,0,0,0,0
Wdr77,0,0,0,0,0,0,0,0,0
Adora3,0,0,0,0,0,0,0,0,0
Atp5f1,0,0,0,0,0,0,0,0,0
Sox9,0,0,1,0,0,0,0,0,0
Hnrnpd,0,0,0,0,0,0,0,0,0
Dynlt1c,0,0,0,0,0,0,0,0,0
C1d,0,0,0,0,0,0,0,0,0
Gm2a,0,0,1,0,0,0,0,0,0
Krit1,0,0,0,0,0,0,0,0,0
Clcn4-2,0,0,0,0,0,0,0,0,0
Vmn2r88,0,0,0,0,0,0,0,0,0
Grm6,0,0,1,0,0,0,0,0,0
Sema4f,1,1,1,0,0,0,0,0,0
Hk2,0,0,0,0,0,0,0,0,0
Myo18a,0,0,0,0,0,0,0,0,0
Sez6,1,0,0,0,0,0,0,0,0
Haao,0,0,0,0,0,0,0,0,0
Cd52,0,0,0,0,0,0,0,0,0
Abhd15,0,0,0,0,0,0,0,0,0
Hoxb6,0,0,0,0,0,0,0,0,0
Loxl3,0,0,0,0,0,0,0,0,0
Tcl1b5,0,0,0,0,0,0,0,0,0
Btn1a1,1,1,1,0,0,0,0,0,0
Kat2b,0,0,0,0,0,0,0,0,0
Rab5b,0,0,0,0,0,0,0,0,0
Cryba1,0,0,0,0,0,0,0,0,0
Dnmt3l,0,0,0,0,0,0,0,0,0
Aire,1,1,1,0,0,0,0,0,0
Icosl,0,1,0,0,0,0,0,0,0
Spg7,0,0,0,0,0,0,0,0,0
Sult5a1,1,1,1,0,0,0,0,0,0
Rpl13,0,0,0,0,0,0,1,0,0
Chmp1a,0,0,0,0,0,0,0,0,0
Rpa1,0,0,0,0,0,0,0,0,0
Serpinf1,0,0,0,1,0,1,0,0,0
Tubgcp3,0,0,0,0,0,0,0,0,0
Oprm1,0,0,0,0,0,0,0,0,0
Polr3d,0,0,0,0,0,0,0,0,0
Tcf7,1,1,1,1,1,1,0,0,0
Ddx3x,0,0,0,0,0,0,0,0,0
Il12rb1,0,0,0,0,0,0,0,0,0
Slc5a5,0,0,0,1,0,1,0,0,0
Kcnn3,0,0,1,0,0,0,0,0,0
Usp32,0,0,0,0,0,0,0,0,0
Car4,0,0,1,0,0,0,1,1,0
Txnrd3,0,0,0,0,0,0,0,0,0
Fasl,0,0,0,0,0,0,0,0,0
Znf512b,0,0,0,0,0,0,0,0,0
Dnajc5,0,0,0,0,0,0,0,0,0
Tpd52l2,0,0,0,0,0,0,0,0,0
Fmr1,0,0,0,0,0,0,0,0,0
Bcl11a,0,1,0,1,1,1,0,0,0
Il4,0,0,0,0,0,0,0,0,0
Pxmp4,0,0,0,0,0,0,0,0,0
Dlg3,1,1,0,0,0,0,0,0,0
