gene.name,BA1,BA2,PBA
Gnai3,-0.223243419,-0.640280202,-0.575955388
Pbsn,0,0,0
Cdc45,0.522253321,0.837798415,0
H19,-1.276261703,-1.532700864,-1.355144963
Scml2,1.507062185,1.640845484,1.2279088
Apoh,0,0,0
Narf,0.356257169,0.901818547,0.57675952
Cav2,-1.587217809,-2.424694323,-1.616875055
Klf6,-3.658518902,-3.782163999,-3.016158174
Scmh1,-0.309762859,0.249346454,0.308318687
Cox5a,-0.340241604,-0.542410749,0
Tbx2,0.966625445,0.898194361,1.28907169
Tbx4,0,2.397502316,0
Zfy2,0,0,0
Ngfr,0,0,-0.724102165
Wnt3,1.978640501,2.673001318,2.483627038
Wnt9a,-2.466476522,-1.946847758,-1.118590352
Fer,0,-0.492999495,-0.548266434
Xpo6,-0.322206782,0,0
Tfe3,-1.22746637,-1.006976364,-0.743119587
Axin2,2.254089278,2.093956837,1.200604114
Baat1,0,0,0.340299302
Gna12,0.250769628,0.243363292,0.682311074
Slc22a18,0,0,3.114329789
Itgb2l,0,0,0
Igsf5,0,0,0
Pih1d2,1.116267309,0,1.46545095
Dlat,-0.281183098,-0.557975219,0
Sdhd,0,-0.279139852,0.37567627
Fgf23,0,0,0
Fgf6,0,-2.800799872,-5.21039959
Ccnd2,0.771712097,0,0.527708689
Gpr107,-0.773409394,-0.551994377,-0.647265913
Nalcn,0,1.853499922,-2.647866282
Btbd17,0,0,0
Slfn4,0,0,0
Th,0,0,2.952182109
Ins2,0,0,0
Scnn1g,5.470565011,0,0
Drp2,1.64000219,1.970076394,1.966343014
Tspan32,0,0,0
Lhx2,0,0,-1.595113865
Clec2g,0,0,0
Gmpr,0.950166454,1.974126829,2.166275733
Glra1,0,0,0
Mid2,-0.452975079,-1.948753821,0.501105337
Trim25,0,0,0
Dgke,0,0,0
Scpep1,-0.853913486,-0.500296005,-0.623038037
Mnt,-0.98521449,-0.49433484,-1.006484632
Itgb2,-3.744130964,-3.181797433,-3.631902906
Hddc2,1.38283015,0.90625983,1.398234094
Tpd52l1,0,-0.900466573,-0.911757902
Pemt,0,0,0
Cdh1,4.268794768,4.853098727,4.639563122
Cdh4,0,0,-0.839345072
Ckmt1,-1.358728672,0,0
Bcl6b,3.926876223,4.527688495,5.182438491
Clec10a,0,0,0
Alox12,0,0,0
Arvcf,0.856850296,1.013761742,0.98718121
Comt,-2.367988477,-2.094392427,-1.546261951
Rtcd1,0,-0.449862489,0
Dbt,-0.529481515,-0.71669807,-0.684677514
Dazap2,-0.605487208,-0.537545735,-0.674611884
Mcts1,0.571478335,0,0
Rem1,-2.467295312,-3.371099568,-1.279569147
Rnf17,0,0,3.128209504
Trappc10,-0.455158856,0,-0.208428446
Ccm2,-0.724557476,-0.466030317,0
Wap,0,0,0
Tbrg4,-0.87193092,-0.563161997,-0.37374025
Tmprss2,3.096301455,3.711647087,4.018964458
Mx1,-4.601332245,-4.884277914,0
Fap,0,0,0
Gcg,0,0,0
Ndufa9,-0.380246504,-0.611803072,0
Egfl6,0,1.948953949,0
Lck,1.086026664,0.650682708,0.853775879
Tssk3,0,0,0
Cttnbp2,2.722345171,2.75967765,1.922920828
Galnt1,0,0,0
Myf5,1.950367508,0.78558822,3.489335587
Mkrn2,0,0,0.574386831
Pparg,-6.038724142,-4.118919858,0
Raf1,0,0.259996098,0.37667535
